epoch = 148, train-loss = 0.00016974788159132003, eval_loss = 0.00035281236863361217
epoch = 149, train-loss = 0.00015639819204807281, eval_loss = 0.0002079117551164807
epoch = 150, train-loss = 0.00016157902777194977, eval_loss = 0.0003441620688393431
epoch = 151, train-loss = 0.00016558650881052018, eval_loss = 0.00029115812888122955
epoch = 152, train-loss = 0.00016012120991945266, eval_loss = 0.0002871830332672821
epoch = 153, train-loss = 0.00015738846734166144, eval_loss = 0.0002526603111962102
epoch = 154, train-loss = 0.00016682198271155356, eval_loss = 0.0003608259952293252
epoch = 155, train-loss = 0.00015686215832829475, eval_loss = 0.00032993149504346666
epoch = 156, train-loss = 0.00016331309452652932, eval_loss = 0.00029436695688175705
epoch = 157, train-loss = 0.0001627667620778084, eval_loss = 0.0002931541640241191
epoch = 158, train-loss = 0.00014947635121643544, eval_loss = 0.00019602322915814957
epoch = 159, train-loss = 0.00016269154846668244, eval_loss = 0.0003816177189912436
epoch = 160, train-loss = 0.00016595570370554923, eval_loss = 0.0003188460502984389
epoch = 161, train-loss = 0.00015769794583320618, eval_loss = 0.0002975355622903356
epoch = 162, train-loss = 0.00015750542283058167, eval_loss = 0.00034523196518421173
epoch = 163, train-loss = 0.00016175411641597748, eval_loss = 0.0003437006248618072
epoch = 164, train-loss = 0.00017390500754117965, eval_loss = 0.0003494117760433341
epoch = 165, train-loss = 0.00016275050118565558, eval_loss = 0.0003011639247525413
epoch = 166, train-loss = 0.00015854500234127044, eval_loss = 0.0003662694175288362
