epoch = 65, train-loss = 0.00019492853432893754, eval_loss = 0.0005114019127949228
epoch = 66, train-loss = 0.00019641911610960962, eval_loss = 0.0004967507677820493
epoch = 67, train-loss = 0.00019545050337910653, eval_loss = 0.0004937581999121972
epoch = 68, train-loss = 0.00019816311076283454, eval_loss = 0.000485432949268593
epoch = 69, train-loss = 0.0001964622735977173, eval_loss = 0.0004818468301926019
epoch = 70, train-loss = 0.00019591785967350007, eval_loss = 0.0005218870937824249
epoch = 71, train-loss = 0.00019628195092082025, eval_loss = 0.0005168364084554169
epoch = 72, train-loss = 0.00019546410068869592, eval_loss = 0.0005366837711266751
epoch = 73, train-loss = 0.00019412264227867127, eval_loss = 0.0005528631637681205
epoch = 74, train-loss = 0.00019505970180034638, eval_loss = 0.0005588395837342964
epoch = 75, train-loss = 0.00019532429054379462, eval_loss = 0.0005830025897835785
epoch = 76, train-loss = 0.0001956978254020214, eval_loss = 0.0005847068398066287
epoch = 77, train-loss = 0.000195128433406353, eval_loss = 0.0005873114503217193
epoch = 78, train-loss = 0.00019512213766574859, eval_loss = 0.0005794627908265815
epoch = 79, train-loss = 0.00019692201167345046, eval_loss = 0.000571117472817313
epoch = 80, train-loss = 0.00019362004473805428, eval_loss = 0.000530639593050165
epoch = 81, train-loss = 0.00019484316930174828, eval_loss = 0.0005326195145553013
epoch = 82, train-loss = 0.0001963472180068493, eval_loss = 0.0005271485391652809
epoch = 83, train-loss = 0.00019612435251474382, eval_loss = 0.0005087350969606976
epoch = 84, train-loss = 0.00019512653350830077, eval_loss = 0.0005122975288134701
epoch = 85, train-loss = 0.0001948987692594528, eval_loss = 0.0005011943010789044
epoch = 86, train-loss = 0.00019543882459402084, eval_loss = 0.0005172505131307638
epoch = 87, train-loss = 0.0001942085102200508, eval_loss = 0.0005100715272831467
epoch = 88, train-loss = 0.00019639674574136733, eval_loss = 0.0005463382826661164
epoch = 89, train-loss = 0.00019504323601722716, eval_loss = 0.0005497233766429829
epoch = 90, train-loss = 0.0001954769901931286, eval_loss = 0.0005593137850738922
epoch = 91, train-loss = 0.00019770003855228423, eval_loss = 0.0005579275202076391
epoch = 92, train-loss = 0.00019518271088600158, eval_loss = 0.0005508583952795785
epoch = 93, train-loss = 0.00019432511180639267, eval_loss = 0.0005596669496230359
epoch = 94, train-loss = 0.0001934094727039337, eval_loss = 0.0005415178975968991
epoch = 95, train-loss = 0.0001949745789170265, eval_loss = 0.0005231663795574656
epoch = 96, train-loss = 0.00019244110211730003, eval_loss = 0.0004964070570356441
epoch = 97, train-loss = 0.00019235854968428613, eval_loss = 0.00051373320649255
epoch = 98, train-loss = 0.00019146086648106576, eval_loss = 0.0005218829819053974
epoch = 99, train-loss = 0.00019446557387709618, eval_loss = 0.0005182631594954797
epoch = 100, train-loss = 0.00019367940723896026, eval_loss = 0.0005063843333496238
epoch = 101, train-loss = 0.00019077083095908165, eval_loss = 0.0004997413324297599
epoch = 102, train-loss = 0.00019190659746527673, eval_loss = 0.0005256466497227831
epoch = 103, train-loss = 0.00019313886761665344, eval_loss = 0.0004974185084959246
epoch = 104, train-loss = 0.00019364744424819945, eval_loss = 0.0005335546327087115
epoch = 105, train-loss = 0.0001906614936888218, eval_loss = 0.0005787219852209091
epoch = 106, train-loss = 0.0001933172531425953, eval_loss = 0.0005495910936931394
epoch = 107, train-loss = 0.0001943754218518734, eval_loss = 0.0005416436085723481
epoch = 108, train-loss = 0.0001937309093773365, eval_loss = 0.000536278839100082
epoch = 109, train-loss = 0.00018745232373476028, eval_loss = 0.0005109612039237652
epoch = 110, train-loss = 0.00018926717340946196, eval_loss = 0.0004648162438622061
epoch = 111, train-loss = 0.00019500410184264183, eval_loss = 0.0005050208771003867
epoch = 112, train-loss = 0.0001840532012283802, eval_loss = 0.000468236025211946
epoch = 113, train-loss = 0.00019047696143388747, eval_loss = 0.0005065519011245584
epoch = 114, train-loss = 0.00019074916839599608, eval_loss = 0.0004454024557797414
epoch = 115, train-loss = 0.00018922556191682815, eval_loss = 0.0004441991518690901
epoch = 116, train-loss = 0.0001899818703532219, eval_loss = 0.0005158940154426502
epoch = 117, train-loss = 0.00018597634509205817, eval_loss = 0.00047274316959785965
epoch = 118, train-loss = 0.0001890072040259838, eval_loss = 0.00046965339273776646
epoch = 119, train-loss = 0.0001867668703198433, eval_loss = 0.00043407275851042767
epoch = 120, train-loss = 0.00017751693725585936, eval_loss = 0.00048008663052657866
epoch = 121, train-loss = 0.00017744675278663635, eval_loss = 0.0004943382557270661
epoch = 122, train-loss = 0.00018204879015684127, eval_loss = 0.000423382264825533
epoch = 123, train-loss = 0.00017603814601898192, eval_loss = 0.00043529771127790774
epoch = 124, train-loss = 0.00017847280949354172, eval_loss = 0.0004165222481736597
